Sample,logFC,pval,pval_corr,log_pval
SLC12A2,0.006413728336218227,0.9460279264103952,1.0,-0.0
GRINA,0.447094093807733,2.314526205026297e-26,4.751722298918988e-22,21.32314894840801
LRRTM2,1.3306369086242604,2.3473755731660388e-06,0.04819162051709878,1.3170284696356906
NUP93,0.5464765870145936,1.0199468787349647e-41,2.0939509420428823e-37,36.679033497370476
HAP1,1.3969528222201335,3.7035353272824505e-08,0.0007603358026910871,3.118994558973871
KLRA1,0.3547522142288928,3.4391046041114533e-09,7.060481752240813e-05,4.1511656650669195
CAMKV,0.6218890483585575,0.10072461388125517,1.0,-0.0
SPPL3,0.18480240978563955,1.7245882561404086e-20,3.540579689856259e-16,15.450925626252467
GOLIM4,-0.03484800074831362,0.4989278556492074,1.0,-0.0
ZNF646,0.3759609954838421,8.721082389128936e-49,1.7904382144881705e-44,43.747040661287
OPA3,-0.029363234724526066,0.19936217853615698,1.0,-0.0
OPA1,0.06425647263434087,0.013490746631792191,1.0,-0.0
RHEB,0.35364559407101837,4.769197703382748e-32,9.79116288504478e-28,27.00916572448229
RAB40C,0.3579515787546672,3.733063909386117e-28,7.663980205969699e-24,23.115545625595644
RAB40B,-0.09262984139428099,0.05172678739006674,1.0,-0.0
RAB40A,-0.47539167956794026,4.201779902286201e-07,0.00862625413939357,2.0641777511853823
COL7A1,2.080369459234481,2.883492567175718e-19,5.9198102404117485e-15,14.227692214368787
MDP1,0.0888614801605474,0.007669099160009135,1.0,-0.0
GTSE1,2.60398637109141,6.705060994249167e-110,1.376549022119354e-105,104.86120831775642
FAM183A,-0.9087034058644283,7.336489648926662e-05,1.0,-0.0
ARFRP1,0.35582245997769846,4.709934327357303e-22,9.669495174064542e-18,17.014596199013287
OVCH1,-2.4685035316746515,9.711693921356236e-56,1.993810762054435e-51,50.70031606412647
FAM183B,0.4685182017964886,0.00038318221237195046,1.0,-0.0
PSAP,0.008332396920680551,0.7926150239171175,1.0,-0.0
KIAA0831,-0.013578508633772302,0.5694524497915635,1.0,-0.0
SPPL2A,-0.43294989497298353,5.99037316038126e-54,1.2298236098262727e-49,48.91015717374149
SLC46A1,-0.16598973929408523,0.0019476917981708032,1.0,-0.0
TGFBR2,-1.3311774594122525,0.0,0.0,inf
ITGA8,-1.8225535790777743,1.3533456140891035e-54,2.7784185457249293e-50,49.556202330806165
ITGA9,-0.7703424715133593,7.02420294740252e-26,1.4420688651017373e-21,20.841013999658507
STK40,-0.4212901458186664,1.9842887520516992e-57,4.0737448079621384e-53,52.3900061800401
MYO3B,-1.358226970016931,9.32108792728433e-21,1.913619351471473e-16,15.718144445867486
ATP2A1,-4.584300751448306,1.9274488066223826e-21,3.9570523999957517e-17,16.402628198690675
ATP2A2,0.06107894021419824,0.07501290243413528,1.0,-0.0
ATP2A3,-0.2989509653379727,0.0010732875638089486,1.0,-0.0
ITGA1,-0.7776102117459054,6.172071633049536e-46,1.2671263062650697e-41,40.89718009278826
ITGA2,0.2156771015158636,0.004902792519453286,1.0,-0.0
ITGA3,0.5525118178824382,1.2631093190806073e-10,2.593163432072487e-06,5.58617011130217
ITGA4,0.6182056125337976,0.0005732927649686255,1.0,-0.0
ITGA5,0.03436624411004097,0.6912373093450259,1.0,-0.0
ITGA6,0.4108666667627272,1.3878063762755103e-05,0.28491664904936226,0.5452821721048412
ITGA7,-0.707489338250948,2.1831385348315874e-13,4.4819834120092485e-09,8.348529755138347
TRHR,0.3079678935984106,0.0039485737365088985,1.0,-0.0
LOC100132288,0.45223621738510555,6.1397037710064225e-16,1.2604811841876186e-11,10.899463632862966
DENND4A,-0.3382202866032564,1.4446478349073877e-22,2.965862005064867e-18,17.52784905958985
DENND4B,0.5331182255238343,1.8136159094179267e-44,3.7233534620350035e-40,39.42906573377225
DENND4C,-0.4747255210199217,1.4383538276909439e-75,2.9529404082495077e-71,70.52974531721695
SWAP70,-0.2980856746659022,1.845871471304533e-18,3.789574130588206e-14,13.421409592967967
RARRES1,0.49228047641184425,0.05870611602040917,1.0,-0.0
LOC100132287,0.7721297064452672,4.4492759955172385e-26,9.13436361879689e-22,21.039321704082884
PHLDA3,0.6684587215539004,3.055389905786399e-20,6.272715476579478e-16,15.202544411132184
PHLDA2,0.7911395611287331,2.5131125347674984e-14,5.159420033877674e-10,9.287399114311292
TACO1,0.009669062528423922,0.7953930718100823,1.0,-0.0
PMM1,-0.3917778667249614,1.75922444590168e-27,3.611687787436149e-23,22.442289799348046
GAP43,2.5519428760055307,1.01197979184053e-06,0.02077594512648608,1.6824392104376567
NENF,0.39796535873028915,1.5430734723538868e-14,3.1679298387425295e-10,9.499224445448826
SQLE,0.8860491915670927,9.79309584249339e-27,2.0105225764638931e-22,21.696691045774877
MRPL28,0.447690128465867,8.588397165932042e-22,1.7631979381658483e-17,16.753698930679782
LOC100289341,0.061576752818528036,0.16901742383231314,1.0,-0.0
FBXL13,0.05363096744089901,0.6762202311116783,1.0,-0.0
FBXL12,0.04365426283312601,0.15495888448807787,1.0,-0.0
FBXL15,0.12855606189752677,0.0076459699127910796,1.0,-0.0
CYP27B1,-0.3501932413294231,0.07697868689101202,1.0,-0.0
FBXL17,-0.48383114100952973,8.482917426090893e-70,1.7415429475764602e-65,64.75906581109062
FBXL16,0.8446138806361354,6.237828064313067e-07,0.012806261016034727,1.8925776506714376
FAM169A,-0.061532788426967855,0.422556210416293,1.0,-0.0
FAM116B,0.3347617430575074,9.214735222575906e-09,0.00018917851411948337,3.7231281899702773
FAM116A,-0.26629292189746856,1.3751928915036617e-43,2.8232710062570176e-39,38.54924743185204
FAM169B,-0.23197466649768383,0.24765268361921572,1.0,-0.0
RALGAPA2,-0.4044190067541873,2.4431813546297807e-13,5.01585132105494e-09,8.299655345263943
GHDC,-0.003511880085508068,0.9231022606652641,1.0,-0.0
H19,0.739237967802918,0.042795384101923385,1.0,-0.0
SDK2,0.5436945791435619,2.0301643802579886e-05,0.416792747266965,0.3800798469286402
GRP,-0.12215410566008789,0.7142629629035613,1.0,-0.0
TPRN,0.15395185242018528,0.0034358512767389054,1.0,-0.0
THSD4,-0.5244680277146294,2.833053436472986e-08,0.000581625870507904,3.235356284458253
KIAA0895L,0.9552514173478057,1.1419697026368804e-41,2.3444637995135154e-37,36.62995646874424
CHST9,-0.38650583392765014,0.0005501193314986281,1.0,-0.0
CHST8,1.919282891192574,1.8436364183684422e-06,0.03784985566910412,1.4219357722334238
COL4A5,-0.19714413292706467,0.006840192264319227,1.0,-0.0
COL4A4,-1.7531745968724302,2.3108843799046144e-189,4.744245631944173e-185,184.32383283359061
COL4A3,-2.066959869873421,4.401073507247312e-196,9.035403910378731e-192,191.04405242836836
COL4A2,0.23673838273557024,0.00021945284104325674,1.0,-0.0
COL4A1,0.509202139658381,1.53549877513712e-11,3.152378985356507e-07,6.501361576285619
SLC35D2,-0.30000720022882277,3.7496456134433557e-19,7.69802244439921e-15,14.113620827008054
CHST1,0.9277689891761725,1.9687264223611426e-07,0.004041795345107426,2.3934256806130745
ZNF879,-0.14324091277620177,8.576518551941313e-05,1.0,-0.0
CHST3,-0.07056355805630687,0.17820771619763617,1.0,-0.0
CHST2,0.9986953700680861,3.621190913031183e-15,7.434304944453019e-11,10.12875962874244
CHST5,-2.008024558435289,1.2545681704853818e-32,2.575628454006489e-28,27.589116785727086
CHST4,0.28314357113852484,0.3891731109828629,1.0,-0.0
CHST7,0.20212935032320445,0.025279945043783753,1.0,-0.0
CHST6,1.180608314234279,2.558986817512039e-10,5.2535999363522155e-06,5.279543001981975
ITGAX,0.3246643543750203,0.0007542285695229688,1.0,-0.0
OR8J1,0.018698021771129964,0.14766143127719372,1.0,-0.0
SNORD115-17,0.0,1.0,1.0,-0.0
BCL2A1,0.446240825145213,0.013767074626351128,1.0,-0.0
GPSM2,0.9812191561659809,4.418108707374915e-41,9.070377176240701e-37,36.04237465316546
HLCS,0.04482849304544523,0.12279306615228945,1.0,-0.0
NOG,1.6892234714983987,9.891713312294964e-09,0.0002030768743014156,3.6923395297469193
LIPG,-1.0646745744126616,1.568143164799765e-19,3.2193979173339178e-15,14.492225341232349
ITGAV,0.07494161708591918,0.08599217315125904,1.0,-0.0
HIBCH,-0.80825167597086,1.5337907466619668e-161,3.1488724028970175e-157,156.5018449372804
ZNF703,0.9116193467107259,2.8070090519340245e-10,5.7627895836205526e-06,5.239367237496694
ITGAL,0.01568970078775145,0.877162715089553,1.0,-0.0
ITGAM,0.06086900923642702,0.5556206896354059,1.0,-0.0
LOC286359,0.07802346682917315,0.0009391340353201156,1.0,-0.0
HLF,-1.5535473038903618,1.5721293486358062e-112,3.2275815527493104e-108,107.49112277540964
NOV,-0.26258649710296744,0.387515415475311,1.0,-0.0
FAM134C,0.17324220497630627,1.3098602758403612e-12,2.6891431463002616e-08,7.570386079147599
FAM134B,-0.4713888486826079,2.8314460125528047e-11,5.812958663770908e-07,6.235602765321614
FAM134A,0.14583048865986115,4.573402242834206e-10,9.389194804538624e-06,5.027371650219479
SERPING1,-1.2534637597731209,4.193622229015638e-63,8.609506436169105e-59,58.06502174496821
SMAD9,-0.9560216367805054,4.115538651175205e-38,8.449200850862695e-34,33.073184365899216
TRERF1,0.37814576473003036,7.013898482930541e-10,1.4399533585456402e-05,4.84165157488691
LOC653501,-0.5417211818933794,6.815116581956034e-78,1.399143434275574e-73,72.85413776118988
LRPAP1,0.04069613351034107,0.2930102978888202,1.0,-0.0
LQK1,0.34041377517317706,5.144193699282488e-09,0.00010561029664626948,3.97629373749673
SMAD6,-0.7976391428947496,5.2522743794295076e-48,1.078291930096878e-43,42.96726364502468
SMAD7,-0.6064813475815125,7.195966663239955e-89,1.4773319559631628e-84,83.8305219079076
GOLPH3L,0.06386665781635514,0.0701253398306628,1.0,-0.0
SMAD1,-0.05802895319565593,0.09472330645954512,1.0,-0.0
AFTPH,-0.19507287892303715,2.0059268898897695e-17,4.1181679049436965e-13,12.38529595040765
SMAD3,-0.03493729952252167,0.372110173228993,1.0,-0.0
MUS81,0.3315381085017801,2.729029738966703e-49,5.602698054098641e-45,44.25160278231064
AMMECR1L,0.14184932960108831,7.1898713222218896e-12,1.4760805824521538e-07,6.8308899327846415
IL1RAPL1,0.7079265980978511,0.0032695279393189585,1.0,-0.0
TMPRSS11B,-4.155191150175075,9.046534819791316e-48,1.857253598503157e-43,42.731128791515516
IGF2R,-0.06976560729244596,0.026553311270496874,1.0,-0.0
TMPRSS11D,-0.6405697911246477,0.0018742446906714857,1.0,-0.0
TMPRSS11F,-0.539999212550379,0.009346892498070431,1.0,-0.0
ZC3H10,-0.03042495906794951,0.1888424100464032,1.0,-0.0
RAD21L1,0.49680921858614885,0.315351155912405,1.0,-0.0
IL1RAPL2,-0.3040578541788985,0.052569170556001764,1.0,-0.0
SLC36A3,0.07380809184289044,0.16256125899699006,1.0,-0.0
CKS1B,1.3276259737365752,3.895109215555069e-65,7.996659219534556e-61,60.09709141120159
SLC36A1,0.14652485208070942,0.046205546054410275,1.0,-0.0
ST13,-0.2741262154670494,1.7627019054092705e-32,3.6188270118052324e-28,27.44143217666357
RPL31P11,-0.07647530574780248,0.24404910164839347,1.0,-0.0
C14orf115,3.433290702844565,0.0020951861006328716,1.0,-0.0
ZC3H15,0.1578589736458067,2.740189209948322e-14,5.625608448023905e-10,9.249830498758145
TMEM213,-2.537868163376051,2.526240265700136e-28,5.186371265482379e-24,23.285136397559135
C14orf118,0.04553937176617673,0.3647811513437793,1.0,-0.0
ARTN,2.1093058896781374,6.135953885250315e-21,1.2597113326418896e-16,15.899728963615566
ART1,-1.594894001455541,4.028722677877735e-17,8.27096765768299e-13,12.08244367741145
HRH3,1.333561992657386,0.0005380983171246588,1.0,-0.0
ART3,0.509945032888135,0.3423934898814651,1.0,-0.0
HERC2P2,0.5199843818152576,3.66449619725463e-12,7.523210692963755e-08,7.123596775279015
ART5,-0.07311040303437188,0.6955388277557026,1.0,-0.0
ART4,-1.591600961748382,1.0223617669109407e-32,2.098908707468161e-28,27.678006450748256
RNF111,-0.12204703007074791,3.6193714915005514e-09,7.430569672050632e-05,4.128977889342513
TCEA2,0.2928335752135709,6.180554451447728e-07,0.012688678288822185,1.8965836136630585
TCEA3,-0.47049288236108744,1.636091743646704e-20,3.3588963497066836e-16,15.47380339760072
